"Date","Price","Open","High","Low","Vol.","Change %"
"10/23/2019","6,006.55","6,007.05","6,034.00","5,975.45","","0.13%"
"10/22/2019","5,999.00","5,994.00","6,033.75","5,986.70","","0.12%"
"10/18/2019","5,991.95","5,896.40","6,001.05","5,889.50","","1.75%"
"10/17/2019","5,888.70","5,800.30","5,894.45","5,790.35","","1.65%"
"10/16/2019","5,793.30","5,818.30","5,834.20","5,783.40","","-0.18%"
"10/15/2019","5,803.55","5,796.35","5,814.75","5,774.70","","0.29%"
"10/14/2019","5,786.70","5,791.15","5,821.65","5,777.35","","0.27%"
"10/11/2019","5,771.10","5,772.80","5,805.80","5,734.35","","0.21%"
"10/10/2019","5,758.80","5,804.65","5,816.60","5,753.50","","-0.94%"
"10/09/2019","5,813.65","5,755.20","5,815.95","5,723.00","","1.14%"
"10/07/2019","5,748.20","5,768.45","5,773.60","5,710.40","","-0.28%"
"10/04/2019","5,764.15","5,835.15","5,848.00","5,753.20","","-0.80%"
"10/03/2019","5,810.65","5,799.40","5,841.90","5,768.60","","-0.08%"
"10/01/2019","5,815.55","5,922.25","5,938.95","5,744.35","","-1.63%"
"09/30/2019","5,912.20","5,995.20","5,996.00","5,869.75","","-1.29%"
"09/27/2019","5,989.75","6,043.80","6,052.25","5,979.80","","-0.86%"
"09/26/2019","6,041.65","6,001.80","6,053.40","5,999.45","","0.80%"
"09/25/2019","5,993.95","6,083.30","6,084.75","5,981.25","","-1.59%"
"09/24/2019","6,090.70","6,141.30","6,157.20","6,065.70","","-0.50%"
"09/23/2019","6,121.55","6,038.00","6,159.80","6,036.05","","2.73%"
"09/20/2019","5,959.15","5,658.95","5,965.90","5,612.60","","5.64%"
"09/19/2019","5,641.15","5,737.10","5,738.10","5,626.50","","-1.49%"
"09/18/2019","5,726.75","5,730.95","5,752.50","5,691.70","","0.34%"
"09/17/2019","5,707.40","5,820.80","5,836.90","5,696.65","","-1.81%"
"09/16/2019","5,812.40","5,802.00","5,839.10","5,789.20","","-0.09%"
"09/13/2019","5,817.60","5,805.40","5,821.05","5,753.85","","0.52%"
"09/12/2019","5,787.50","5,821.55","5,838.15","5,782.85","","-0.27%"
"09/11/2019","5,803.45","5,766.00","5,809.95","5,765.95","","0.79%"
"09/09/2019","5,758.00","5,702.45","5,761.35","5,686.60","","1.08%"
"09/06/2019","5,696.70","5,673.20","5,703.25","5,660.10","","0.65%"
"09/05/2019","5,659.95","5,656.95","5,680.05","5,649.40","","0.24%"
"09/04/2019","5,646.50","5,626.85","5,651.15","5,589.40","","0.35%"
"09/03/2019","5,626.85","5,683.10","5,694.60","5,618.05","","-1.50%"
"08/30/2019","5,712.70","5,676.10","5,719.25","5,648.90","","0.93%"
"08/29/2019","5,659.80","5,678.30","5,683.55","5,621.05","","-0.40%"
"08/28/2019","5,682.70","5,739.65","5,760.75","5,665.70","","-0.85%"
"08/27/2019","5,731.65","5,707.35","5,747.25","5,699.05","","0.86%"
"08/26/2019","5,682.95","5,699.35","5,705.90","5,574.50","","1.34%"
"08/23/2019","5,607.90","5,540.70","5,619.30","5,492.95","","0.88%"
"08/22/2019","5,558.95","5,642.35","5,644.35","5,547.70","","-1.70%"
"08/21/2019","5,655.10","5,729.35","5,731.45","5,643.40","","-1.36%"
"08/20/2019","5,732.80","5,778.05","5,779.10","5,708.15","","-0.72%"
"08/19/2019","5,774.50","5,771.80","5,798.55","5,760.30","","0.30%"
"08/16/2019","5,757.20","5,720.40","5,762.45","5,682.65","","0.29%"
"08/14/2019","5,740.60","5,719.35","5,747.95","5,683.70","","0.84%"
"08/13/2019","5,692.85","5,807.85","5,809.05","5,685.15","","-1.82%"
"08/09/2019","5,798.20","5,768.60","5,829.40","5,768.15","","0.96%"
"08/08/2019","5,742.95","5,719.80","5,753.00","5,681.60","","0.62%"
"08/07/2019","5,707.35","5,741.20","5,782.00","5,697.60","","-0.45%"
"08/06/2019","5,733.30","5,608.25","5,741.00","5,608.10","","1.76%"
"08/05/2019","5,634.05","5,672.60","5,672.60","5,578.40","","-1.39%"
"08/02/2019","5,713.20","5,683.70","5,750.70","5,634.75","","-0.13%"
"08/01/2019","5,720.85","5,755.80","5,786.60","5,678.85","","-0.90%"
"07/31/2019","5,772.90","5,686.85","5,778.85","5,645.65","","1.05%"
"07/30/2019","5,713.15","5,812.95","5,840.00","5,704.85","","-1.63%"
"07/29/2019","5,807.80","5,859.65","5,866.30","5,796.30","","-0.86%"
"07/26/2019","5,857.90","5,828.85","5,866.25","5,807.10","","0.47%"
"07/25/2019","5,830.50","5,803.90","5,844.95","5,803.00","","0.47%"
"07/24/2019","5,803.50","5,883.85","5,899.80","5,794.45","","-1.37%"
"07/23/2019","5,883.90","5,911.55","5,922.35","5,862.70","","-0.36%"
"07/22/2019","5,904.90","5,927.75","5,931.10","5,854.75","","-0.64%"
"07/19/2019","5,942.95","6,075.75","6,085.75","5,930.85","","-1.85%"
"07/18/2019","6,054.80","6,136.35","6,138.10","6,048.10","","-1.43%"
"07/17/2019","6,142.80","6,162.20","6,176.25","6,127.75","","-0.25%"
"07/16/2019","6,158.15","6,121.10","6,160.05","6,108.65","","0.65%"
"07/15/2019","6,118.30","6,173.20","6,176.80","6,097.85","","-0.71%"
"07/12/2019","6,161.80","6,145.40","6,187.95","6,138.75","","0.38%"
"07/11/2019","6,138.30","6,118.65","6,142.85","6,097.65","","0.71%"
"07/10/2019","6,095.25","6,155.05","6,177.35","6,088.70","","-0.87%"
"07/09/2019","6,148.70","6,116.15","6,155.70","6,088.75","","0.30%"
"07/08/2019","6,130.45","6,252.95","6,258.95","6,108.55","","-2.43%"
"07/05/2019","6,283.45","6,394.00","6,394.85","6,270.90","","-1.50%"
"07/04/2019","6,379.35","6,398.15","6,411.60","6,373.95","","-0.14%"
"07/03/2019","6,388.45","6,387.55","6,397.40","6,371.25","","0.15%"
"07/02/2019","6,378.90","6,378.20","6,383.25","6,334.00","","0.30%"
"07/01/2019","6,360.05","6,364.35","6,378.40","6,347.70","","0.21%"
"06/28/2019","6,346.55","6,361.05","6,363.10","6,328.95","","-0.14%"
"06/27/2019","6,355.30","6,333.15","6,363.60","6,329.65","","0.50%"
